name,sold,original_price,promo_price,store_name,url,img,rating,review
Merries - [原箱] 紙尿片 (加大碼) (新舊包裝隨機發送),"已售出 3,000+",$ 796.00,$ 550.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H0888001_20230711_UKRED,https://images.hktvmall.com/h0888001/e5dd8130e4b4a4b5bcbe03a8eca01af6b3aabc10/h0888001_p10060171_200526063701_01_300.jpg,,(45)
Merries - [原箱-X3 ] 學習褲 加大碼XL50片X 3包(平行進口),"已售出 30,000+",VIP 日限時優惠,$ 297.00,彩虹生活百貨,https://www.hktvmall.com/hktv/zh/exp/MMS_RP_H8347001_20230808_00001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/4fc8/7d2e/9137/SIwtMrFAcA20230731174534_300.jpg,NA,(233)
"HUGGIES - [優惠孖裝]純水嬰兒濕紙巾 64片x3(100% 食品級成份,無添加防腐劑, 口手可用, 通過美國皮膚科測試)","已售出 30,000+",$ 191.00,$ 112.00,NA,https://www.hktvmall.com/hktv/zh/promo/MGA_H0888001_2020719_Huggies_Buy1499_Free_Vita,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/cf78/e82b/4658/weMssBXqXk20230516171043_300.jpg,NA,(129)
Merries - 花王 學習褲XL碼 50片 X 3包 (原箱)【平行進口產品】,"已售出 20,000+",VIP DAY,$ 297.00,Mami SOS,https://www.hktvmall.com/hktv/zh/s/H7777001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/1a54/19a3/d043/yfYUNBKtid20230721151317_300.png,NA,(250)
Bebesup - [香港行貨]韓國新生嬰兒手口濕紙巾敏感肌系列80片X10包 [原箱特價],"已售出 20,000+",- 限時優惠,$ 188.00,彩虹生活百貨,https://www.hktvmall.com/hktv/zh/exp/MMS_RP_H8347001_20230808_00001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/1607/0918/1615/nnZapusXnr20230102171055_300.jpg,NA,(145)
思詩樂 - [3包優惠裝] 嬰兒清潔棉 (新舊包裝隨機發送),"已售出 10,000+",即時優惠! 原價: $103.5,$ 84.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H0888001_20230711_UKRED,https://images.hktvmall.com/h0888001/0fd3138e6bef95f22c3f26c7129fdf78dad59bee/h0888001_10002921b_221017051757_01_300.jpg,NA,(78)
"Pampers - [原裝正貨] 日本進口Ichiban拉拉褲/學習褲-中碼174片 (360°透氣, 替換超簡單, 360°彈性腰圍)","已售出 10,000+",$ 573.00,$ 525.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6924001_20230804_hipp,https://images.hktvmall.com/h0888001/7973c52f0a321faf6b91557ca962c17b2c506ed1/h0888001_p10030694_221206024303_01_300.jpg,NA,(200)
"Pampers  - [原裝正貨|優惠增量裝] 日本進口Ichiban拉拉褲/學習褲-大碼102片 (原箱, 360°透氣, 替換超簡單, 360°彈性腰圍) (新舊包裝隨機發送)","已售出 10,000+",$ 390.00,$ 325.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6924001_20230804_hipp,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/bae3/db1a/cfee/pnCYNOMHCp20230713122233_300.jpg,NA,(81)
"Pampers  - [原裝正貨|優惠增量裝] 日本進口Ichiban拉拉褲/學習褲-加加大碼78片 (原箱, 360°透氣, 替換超簡單, 360°彈性腰圍) (新舊包裝隨機發送)","已售出 10,000+",$ 394.90,$ 359.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6924001_20230804_hipp,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/d14e/0859/fffd/zQTloaMJTP20230713141945_300.jpg,NA,(55)
HIROTA - 75%酒精消毒濕纸巾 - 60 片裝 x 3 包 (額外送 75% 酒精消毒濕纸巾 10 片裝 x 3 包),"已售出 10,000+",【限時優惠】原價 $170,$ 100.00,NA,https://www.hktvmall.com/hktv/zh/main/search?page=0&q=%3Alive-time-asc%3Acategory%3ABB19000074711%3AcategoryHotPickOrder%3ABB19000074711%3Azone%3Agadgetsandelectronics%3Astreet%3Amain%3A,https://images.hktv-img.com/images/HKTV/42807/Combo-2_main_66614292_20210611150328_01_300.jpg,NA,(82)
